assignment,duedate,timestamp,student_id,last_name,first_name,email,raw_score,late_submission_penalty,score,max_score
worksheet_01,,,1075,,,,17.0,0.0,17.0,17.0
worksheet_01,,,14051,,,,0.0,0.0,0.0,17.0
worksheet_01,,,20861,,,,17.0,0.0,17.0,17.0
worksheet_01,,,26115,,,,0.0,0.0,0.0,17.0
worksheet_01,,,359449,,,,0.0,0.0,0.0,17.0
worksheet_01,,,38443,,,,0.0,0.0,0.0,17.0
worksheet_01,,,397133,,,,0.0,0.0,0.0,17.0
worksheet_01,,,60469,,,,0.0,0.0,0.0,17.0
worksheet_01,,,79214,,,,0.0,0.0,0.0,17.0
worksheet_01,,,90233,,,,0.0,0.0,0.0,17.0
worksheet_01,,,100159,,,,17.0,0.0,17.0,17.0
worksheet_01,,,10349,,,,0.0,0.0,0.0,17.0
worksheet_01,,,105310,,,,11.0,0.0,11.0,17.0
worksheet_01,,,10946,,,,17.0,0.0,17.0,17.0
worksheet_01,,,113345,,,,17.0,0.0,17.0,17.0
worksheet_01,,,118291,,,,17.0,0.0,17.0,17.0
worksheet_01,,,12243,,,,17.0,0.0,17.0,17.0
worksheet_01,,,137318,,,,17.0,0.0,17.0,17.0
worksheet_01,,,1394,,,,0.0,0.0,0.0,17.0
worksheet_01,,,14174,,,,17.0,0.0,17.0,17.0
worksheet_01,,,14208,,,,17.0,0.0,17.0,17.0
worksheet_01,,,149481,,,,17.0,0.0,17.0,17.0
worksheet_01,,,15374,,,,17.0,0.0,17.0,17.0
worksheet_01,,,16635,,,,17.0,0.0,17.0,17.0
worksheet_01,,,176480,,,,0.0,0.0,0.0,17.0
worksheet_01,,,17803,,,,17.0,0.0,17.0,17.0
worksheet_01,,,18114,,,,17.0,0.0,17.0,17.0
worksheet_01,,,18506,,,,17.0,0.0,17.0,17.0
worksheet_01,,,197456,,,,17.0,0.0,17.0,17.0
worksheet_01,,,21117,,,,17.0,0.0,17.0,17.0
worksheet_01,,,215514,,,,17.0,0.0,17.0,17.0
worksheet_01,,,216528,,,,0.0,0.0,0.0,17.0
worksheet_01,,,22463,,,,3.0,0.0,3.0,17.0
worksheet_01,,,22653,,,,17.0,0.0,17.0,17.0
worksheet_01,,,2277,,,,17.0,0.0,17.0,17.0
worksheet_01,,,236528,,,,17.0,0.0,17.0,17.0
worksheet_01,,,243174,,,,0.0,0.0,0.0,17.0
worksheet_01,,,243427,,,,17.0,0.0,17.0,17.0
worksheet_01,,,245299,,,,17.0,0.0,17.0,17.0
worksheet_01,,,247162,,,,17.0,0.0,17.0,17.0
worksheet_01,,,253244,,,,17.0,0.0,17.0,17.0
worksheet_01,,,25875,,,,17.0,0.0,17.0,17.0
worksheet_01,,,26148,,,,17.0,0.0,17.0,17.0
worksheet_01,,,265258,,,,17.0,0.0,17.0,17.0
worksheet_01,,,26937,,,,17.0,0.0,17.0,17.0
worksheet_01,,,276319,,,,17.0,0.0,17.0,17.0
worksheet_01,,,289053,,,,17.0,0.0,17.0,17.0
worksheet_01,,,291347,,,,17.0,0.0,17.0,17.0
worksheet_01,,,293014,,,,17.0,0.0,17.0,17.0
worksheet_01,,,30549,,,,17.0,0.0,17.0,17.0
worksheet_01,,,305985,,,,17.0,0.0,17.0,17.0
worksheet_01,,,313452,,,,16.0,0.0,16.0,17.0
worksheet_01,,,335274,,,,15.0,0.0,15.0,17.0
worksheet_01,,,33863,,,,17.0,0.0,17.0,17.0
worksheet_01,,,347589,,,,17.0,0.0,17.0,17.0
worksheet_01,,,353207,,,,17.0,0.0,17.0,17.0
worksheet_01,,,353211,,,,17.0,0.0,17.0,17.0
worksheet_01,,,355215,,,,17.0,0.0,17.0,17.0
worksheet_01,,,356495,,,,17.0,0.0,17.0,17.0
worksheet_01,,,356648,,,,17.0,0.0,17.0,17.0
worksheet_01,,,357947,,,,17.0,0.0,17.0,17.0
worksheet_01,,,358701,,,,17.0,0.0,17.0,17.0
worksheet_01,,,362409,,,,17.0,0.0,17.0,17.0
worksheet_01,,,365378,,,,17.0,0.0,17.0,17.0
worksheet_01,,,365927,,,,17.0,0.0,17.0,17.0
worksheet_01,,,367631,,,,17.0,0.0,17.0,17.0
worksheet_01,,,367639,,,,17.0,0.0,17.0,17.0
worksheet_01,,,4046,,,,17.0,0.0,17.0,17.0
worksheet_01,,,4201,,,,17.0,0.0,17.0,17.0
worksheet_01,,,46260,,,,17.0,0.0,17.0,17.0
worksheet_01,,,47097,,,,16.0,0.0,16.0,17.0
worksheet_01,,,50482,,,,17.0,0.0,17.0,17.0
worksheet_01,,,50502,,,,17.0,0.0,17.0,17.0
worksheet_01,,,52211,,,,17.0,0.0,17.0,17.0
worksheet_01,,,53263,,,,17.0,0.0,17.0,17.0
worksheet_01,,,61373,,,,17.0,0.0,17.0,17.0
worksheet_01,,,72598,,,,17.0,0.0,17.0,17.0
worksheet_01,,,72633,,,,17.0,0.0,17.0,17.0
worksheet_01,,,73290,,,,17.0,0.0,17.0,17.0
